season,match_id,match_date,stage,home_team,away_team,home_score,away_score,home_xg,away_xg,complete_tournament
2022,3869220,2022-12-06,Round of 16,Morocco,Spain,0,0,0.5704,0.495,True
2022,3869254,2022-12-06,Round of 16,Portugal,Switzerland,6,1,2.2843,1.2718,True
2022,3869321,2022-12-09,Quarter-finals,Netherlands,Argentina,2,2,0.5695,1.9392,True
2022,3869420,2022-12-09,Quarter-finals,Croatia,Brazil,1,1,0.6329,1.8163,True
2022,3869354,2022-12-10,Quarter-finals,England,France,1,2,2.3526,0.8394,True
2022,3869486,2022-12-10,Quarter-finals,Morocco,Portugal,1,0,0.972,0.7441,True
2022,3869519,2022-12-13,Semi-finals,Argentina,Croatia,3,0,1.8644,0.4101,True
2022,3869552,2022-12-14,Semi-finals,France,Morocco,2,0,2.0024,1.2304,True
2022,3869684,2022-12-17,3rd Place Final,Croatia,Morocco,2,1,0.8493,0.9915,True
2022,3869685,2022-12-18,Final,Argentina,France,3,3,2.7583,2.2726,True
2018,7525,2018-06-14,Group Stage,Russia,Saudi Arabia,5,0,1.2816,0.2488,True
2018,7576,2018-06-15,Group Stage,Portugal,Spain,3,3,1.4346,1.6609,True
2018,7577,2018-06-15,Group Stage,Morocco,Iran,0,1,1.0592,0.6976,True
2018,7578,2018-06-15,Group Stage,Egypt,Uruguay,0,1,0.3645,1.9408,True
2018,7529,2018-06-16,Group Stage,Croatia,Nigeria,2,0,1.6945,0.7623,True
2018,7530,2018-06-16,Group Stage,France,Australia,2,1,1.5616,0.98,True
2018,7531,2018-06-16,Group Stage,Argentina,Iceland,1,1,2.0805,1.0321,True
2018,7532,2018-06-16,Group Stage,Peru,Denmark,0,1,1.9264,1.1216,True
2018,7533,2018-06-17,Group Stage,Brazil,Switzerland,1,1,1.8666,0.4721,True
2018,7534,2018-06-17,Group Stage,Germany,Mexico,0,1,2.2993,0.9933,True
2018,7535,2018-06-17,Group Stage,Costa Rica,Serbia,0,1,0.596,1.9926,True
2018,7536,2018-06-18,Group Stage,Belgium,Panama,3,0,1.2121,0.6254,True
2018,7537,2018-06-18,Group Stage,Tunisia,England,1,2,0.9457,2.6264,True
2018,7538,2018-06-18,Group Stage,Sweden,South Korea,1,0,2.0151,0.4144,True
2018,7539,2018-06-19,Group Stage,Poland,Senegal,1,2,1.0423,1.4278,True
2018,7540,2018-06-19,Group Stage,Russia,Egypt,3,1,0.9812,1.6975,True
2018,7541,2018-06-19,Group Stage,Colombia,Japan,1,2,0.8063,2.3207,True
2018,7542,2018-06-20,Group Stage,Portugal,Morocco,1,0,0.885,1.4551,True
2018,7543,2018-06-20,Group Stage,Iran,Spain,0,1,0.4265,2.197,True
2018,7544,2018-06-20,Group Stage,Uruguay,Saudi Arabia,1,0,1.8074,0.2735,True
2018,7545,2018-06-21,Group Stage,Argentina,Croatia,0,3,1.2181,1.8317,True
2018,7546,2018-06-21,Group Stage,France,Peru,1,0,1.8624,0.6252,True
2018,7547,2018-06-21,Group Stage,Denmark,Australia,1,1,1.0144,1.4122,True
2018,7548,2018-06-22,Group Stage,Brazil,Costa Rica,2,0,3.0964,0.1587,True
2018,7549,2018-06-22,Group Stage,Nigeria,Iceland,2,0,1.3122,1.5522,True
2018,7550,2018-06-22,Group Stage,Serbia,Switzerland,1,2,1.1535,1.5573,True
2018,7551,2018-06-23,Group Stage,Germany,Sweden,2,1,1.3181,0.8152,True
2018,7552,2018-06-23,Group Stage,Belgium,Tunisia,5,2,5.3364,1.1882,True
2018,7553,2018-06-23,Group Stage,South Korea,Mexico,1,2,0.8218,1.8776,True
2018,7554,2018-06-24,Group Stage,England,Panama,6,1,3.1683,1.08,True
2018,7555,2018-06-24,Group Stage,Poland,Colombia,0,3,1.1142,1.3869,True
2018,7556,2018-06-24,Group Stage,Japan,Senegal,2,2,0.9822,1.8783,True
2018,7557,2018-06-25,Group Stage,Iran,Portugal,1,1,1.577,1.5224,True
2018,7558,2018-06-25,Group Stage,Uruguay,Russia,3,0,2.4826,0.1802,True
2018,7559,2018-06-25,Group Stage,Saudi Arabia,Egypt,2,1,2.5458,0.9237,True
2018,7560,2018-06-25,Group Stage,Spain,Morocco,2,2,2.6045,1.0718,True
2018,7561,2018-06-26,Group Stage,Iceland,Croatia,1,2,2.1327,0.6739,True
2018,7562,2018-06-26,Group Stage,Australia,Peru,0,2,1.6293,0.3364,True
2018,7563,2018-06-26,Group Stage,Denmark,France,0,0,0.139,0.4181,True
2018,7564,2018-06-26,Group Stage,Nigeria,Argentina,1,2,1.3053,0.8506,True
2018,7565,2018-06-27,Group Stage,Serbia,Brazil,0,2,0.9483,1.4198,True
2018,7566,2018-06-27,Group Stage,Mexico,Sweden,0,3,1.6107,2.7905,True
2018,7567,2018-06-27,Group Stage,South Korea,Germany,2,0,1.7746,2.7064,True
2018,7568,2018-06-27,Group Stage,Switzerland,Costa Rica,2,2,1.2197,1.5762,True
2018,7569,2018-06-28,Group Stage,Panama,Tunisia,1,2,0.6908,2.8525,True
2018,7570,2018-06-28,Group Stage,England,Belgium,0,1,1.2007,0.9653,True
2018,7571,2018-06-28,Group Stage,Senegal,Colombia,0,1,0.3609,0.2849,True
2018,7572,2018-06-28,Group Stage,Japan,Poland,0,1,0.8906,1.0407,True
2018,7579,2018-06-30,Round of 16,Uruguay,Portugal,2,1,0.476,0.9956,True
2018,7580,2018-06-30,Round of 16,France,Argentina,4,3,1.638,1.4466,True
2018,7581,2018-07-01,Round of 16,Croatia,Denmark,1,1,2.1702,0.6965,True
2018,7582,2018-07-01,Round of 16,Spain,Russia,1,1,1.4411,1.4064,True
2018,7583,2018-07-02,Round of 16,Brazil,Mexico,2,0,3.3204,0.5828,True
2018,7584,2018-07-02,Round of 16,Belgium,Japan,3,2,2.9178,0.6938,True
2018,7585,2018-07-03,Round of 16,Colombia,England,1,1,0.8312,2.2443,True
2018,7586,2018-07-03,Round of 16,Sweden,Switzerland,1,0,0.9105,0.533,True
2018,8649,2018-07-06,Quarter-finals,Uruguay,France,0,2,0.6932,0.5388,True
2018,8650,2018-07-06,Quarter-finals,Brazil,Belgium,1,2,2.6092,0.4053,True
2018,8651,2018-07-07,Quarter-finals,Sweden,England,0,2,0.8342,0.7582,True
2018,8652,2018-07-07,Quarter-finals,Russia,Croatia,2,2,1.0709,1.6505,True
2018,8655,2018-07-10,Semi-finals,France,Belgium,1,0,1.6817,0.5669,True
2018,8656,2018-07-11,Semi-finals,Croatia,England,2,1,2.1413,0.5467,True
2018,8657,2018-07-14,3rd Place Final,Belgium,England,2,0,1.3207,1.3354,True
2018,8658,2018-07-15,Final,France,Croatia,4,2,1.098,1.4803,True
1990,3793185,1990-06-24,Round of 16,Brazil,Argentina,0,1,1.7769,1.0229,False
1986,3750191,1986-06-22,Quarter-finals,Argentina,England,2,1,1.6146,0.8854,False
1986,3889148,1986-06-25,Semi-finals,Argentina,Belgium,2,0,1.8217,1.0339,False
1986,3889149,1986-06-29,Semi-finals,Argentina,Germany,3,2,1.3115,1.461,False
1974,3888716,1974-06-19,1st Group Stage,Netherlands,Sweden,0,0,2.573,0.6863,False
1974,3750180,1974-06-22,1st Group Stage,German DR,Germany,1,0,1.0672,1.7903,False
1974,3888717,1974-06-26,1st Group Stage,Netherlands,Argentina,4,0,2.4672,0.132,False
1974,3888718,1974-06-30,1st Group Stage,German DR,Netherlands,0,2,0.2054,0.8318,False
1974,3888719,1974-07-03,1st Group Stage,Netherlands,Brazil,2,0,0.7539,0.9626,False
1974,3888720,1974-07-07,Final,Netherlands,Germany,1,2,2.0295,1.4096,False
1970,3888699,1970-06-03,Group Stage,Brazil,Czechoslovakia,4,1,3.8133,2.4175,False
1970,3888700,1970-06-07,Group Stage,Brazil,England,1,0,0.8669,1.5376,False
1970,3889217,1970-06-09,Group Stage,Brazil,Romania,3,2,2.2187,1.1669,False
1970,3889218,1970-06-14,Quarter-finals,Brazil,Peru,4,2,3.6556,0.922,False
1970,3888701,1970-06-17,Semi-finals,Brazil,Uruguay,3,1,1.4168,0.8425,False
1970,3888702,1970-06-21,Final,Brazil,Italy,4,1,2.7683,1.6352,False
1962,3888854,1962-05-30,Group Stage,Brazil,Mexico,2,0,2.3598,0.8955,False
1958,3888704,1958-06-24,Semi-finals,Brazil,France,5,2,4.8153,1.4712,False
1958,3888705,1958-06-29,Final,Brazil,Sweden,5,2,3.3413,0.7843,False
