season,team,fifa_code,fifa_rank_date,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches,xg_per_game,net_xg_per_game,tournament_result,data_source
2014,Russia,RUS,2014-06-05,19,893.0,3,1.1,0.3,Group stage exit,American Soccer Analysis
2014,Mexico,MEX,2014-06-05,20,882.0,4,0.8,-0.3,Round of 16 exit,American Soccer Analysis
2014,Bosnia and Herzegovina,BIH,2014-06-05,21,873.0,3,1.3,0.4,Group stage exit,American Soccer Analysis
2014,Algeria,ALG,2014-06-05,22,858.0,4,1.0,-0.5,Round of 16 exit,American Soccer Analysis
2014,Ivory Coast,CIV,2014-06-05,24,809.0,3,1.3,0.4,Group stage exit,American Soccer Analysis
2014,Ecuador,ECU,2014-06-05,26,791.0,3,1.1,-0.3,Group stage exit,American Soccer Analysis
2014,Costa Rica,CRC,2014-06-05,28,762.0,5,0.8,-0.2,Quarter-finals exit,American Soccer Analysis
2014,Honduras,HON,2014-06-05,33,731.0,3,0.6,-1.4,Group stage exit,American Soccer Analysis
2014,Ghana,GHA,2014-06-05,37,704.0,3,1.5,0.2,Group stage exit,American Soccer Analysis
2014,Iran,IRN,2014-06-05,43,641.0,3,0.8,-0.4,Group stage exit,American Soccer Analysis
2014,Nigeria,NGA,2014-06-05,44,640.0,4,0.9,-0.6,Round of 16 exit,American Soccer Analysis
2014,Japan,JPN,2014-06-05,46,626.0,3,1.4,-0.3,Group stage exit,American Soccer Analysis
2014,Cameroon,CMR,2014-06-05,56,558.0,3,1.1,-0.9,Group stage exit,American Soccer Analysis
2014,South Korea,KOR,2014-06-05,58,547.0,3,1.0,-0.9,Group stage exit,American Soccer Analysis
2014,Australia,AUS,2014-06-05,62,526.0,3,1.3,-0.1,Group stage exit,American Soccer Analysis
