season,team,matches,xg_for,xg_against,xg_per_game,xg_against_per_game,net_xg_per_game,tournament_result,fifa_code,fifa_rank_date,fifa_rank_pre_tournament,fifa_points_pre_tournament,data_source,metric_note
2022,Qatar,3,1.408,3.7709,0.4693,1.257,-0.7876,Group stage exit,QAT,2022-10-06,50,1439.89,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Portugal,5,7.3127,5.6395,1.4625,1.1279,0.3346,Quarter-finals exit,POR,2022-10-06,9,1676.56,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Poland,4,4.6632,6.7041,1.1658,1.676,-0.5102,Round of 16 exit,POL,2022-10-06,26,1548.59,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Netherlands,5,4.9938,6.0776,0.9988,1.2155,-0.2168,Quarter-finals exit,NED,2022-10-06,8,1694.51,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Morocco,7,5.5444,6.6789,0.7921,0.9541,-0.1621,Fourth place,MAR,2022-10-06,22,1563.5,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Mexico,3,3.0576,2.5392,1.0192,0.8464,0.1728,Group stage exit,MEX,2022-10-06,13,1644.89,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Japan,4,4.2496,4.6795,1.0624,1.1699,-0.1075,Round of 16 exit,JPN,2022-10-06,24,1559.54,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Iran,3,3.8304,3.7724,1.2768,1.2575,0.0193,Group stage exit,IRN,2022-10-06,20,1564.61,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Ghana,3,3.3533,5.1012,1.1178,1.7004,-0.5827,Group stage exit,GHA,2022-10-06,61,1393.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Germany,3,8.2311,2.9235,2.7437,0.9745,1.7692,Group stage exit,GER,2022-10-06,11,1650.21,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,France,7,11.8219,9.4449,1.6888,1.3493,0.3396,Runner-up,FRA,2022-10-06,4,1759.78,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,England,5,8.7359,3.9901,1.7472,0.798,0.9491,Quarter-finals exit,ENG,2022-10-06,5,1728.47,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Ecuador,3,3.8067,2.1161,1.2689,0.7054,0.5635,Group stage exit,ECU,2022-10-06,44,1464.39,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Denmark,3,3.1923,3.4632,1.0641,1.1544,-0.0903,Group stage exit,DEN,2022-10-06,10,1666.57,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Croatia,7,6.9017,8.7724,0.986,1.2532,-0.2672,Third place,CRO,2022-10-06,12,1645.64,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Costa Rica,3,1.2341,7.8516,0.4114,2.6172,-2.2058,Group stage exit,CRC,2022-10-06,31,1503.59,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Canada,3,3.9286,3.7067,1.3095,1.2356,0.074,Group stage exit,CAN,2022-10-06,41,1475.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Cameroon,3,3.0667,5.5428,1.0222,1.8476,-0.8254,Group stage exit,CMR,2022-10-06,43,1471.44,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Brazil,5,10.5026,1.813,2.1005,0.3626,1.7379,Quarter-finals exit,BRA,2022-10-06,1,1841.3,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Belgium,3,3.6945,4.2323,1.2315,1.4108,-0.1793,Group stage exit,BEL,2022-10-06,2,1816.71,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Australia,4,1.5782,6.4414,0.3945,1.6104,-1.2158,Round of 16 exit,AUS,2022-10-06,38,1488.72,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Argentina,7,13.9369,4.2358,1.991,0.6051,1.3859,Winner,ARG,2022-10-06,3,1773.88,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Uruguay,5,7.4,2.3525,1.48,0.4705,1.0095,Quarter-finals exit,URU,2018-06-07,14,1018.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Tunisia,3,4.9863,8.6537,1.6621,2.8846,-1.2225,Group stage exit,TUN,2018-06-07,21,910.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Switzerland,4,3.7821,5.5068,0.9455,1.3767,-0.4312,Round of 16 exit,SUI,2018-06-07,6,1199.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Sweden,5,7.3654,4.6344,1.4731,0.9269,0.5462,Quarter-finals exit,SWE,2018-06-07,24,880.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Spain,4,7.9035,4.3392,1.9759,1.0848,0.8911,Round of 16 exit,ESP,2018-06-07,10,1126.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,South Korea,3,3.0108,6.5991,1.0036,2.1997,-1.1961,Group stage exit,KOR,2018-06-07,57,544.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Serbia,3,4.0944,3.5731,1.3648,1.191,0.1737,Group stage exit,SRB,2018-06-07,34,751.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Senegal,3,3.6669,2.3094,1.2223,0.7698,0.4525,Group stage exit,SEN,2018-06-07,27,838.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Saudi Arabia,3,3.0681,4.0127,1.0227,1.3376,-0.3149,Group stage exit,KSA,2018-06-07,67,465.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Russia,5,4.9203,7.5205,0.9841,1.5041,-0.52,Quarter-finals exit,RUS,2018-06-07,70,457.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Portugal,4,4.8376,5.169,1.2094,1.2923,-0.0829,Round of 16 exit,POR,2018-06-07,4,1274.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Poland,3,3.1972,3.7053,1.0657,1.2351,-0.1694,Group stage exit,POL,2018-06-07,8,1183.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Peru,3,2.888,4.6133,0.9627,1.5378,-0.5751,Group stage exit,PER,2018-06-07,11,1125.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Panama,3,2.3962,7.2328,0.7987,2.4109,-1.6122,Group stage exit,PAN,2018-06-07,55,571.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Nigeria,3,3.3798,4.0972,1.1266,1.3657,-0.2391,Group stage exit,NGA,2018-06-07,48,618.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Morocco,3,3.5861,4.187,1.1954,1.3957,-0.2003,Group stage exit,MAR,2018-06-07,41,686.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Mexico,4,5.0643,9.232,1.2661,2.308,-1.0419,Round of 16 exit,MEX,2018-06-07,15,989.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Japan,4,4.8873,6.6431,1.2218,1.6608,-0.439,Round of 16 exit,JPN,2018-06-07,61,521.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Iran,3,2.701,4.7786,0.9003,1.5929,-0.6925,Group stage exit,IRN,2018-06-07,37,708.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Iceland,3,4.717,4.0666,1.5723,1.3555,0.2168,Group stage exit,ISL,2018-06-07,22,908.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Germany,3,6.3237,3.5831,2.1079,1.1944,0.9136,Group stage exit,GER,2018-06-07,1,1558.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,France,7,8.7986,5.9311,1.2569,0.8473,0.4096,Winner,FRA,2018-06-07,7,1198.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,England,7,11.88,8.1183,1.6971,1.1598,0.5374,Fourth place,ENG,2018-06-07,13,1051.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Egypt,3,2.9857,5.4678,0.9952,1.8226,-0.8274,Group stage exit,EGY,2018-06-07,45,649.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Denmark,4,2.9715,5.9269,0.7429,1.4817,-0.7389,Round of 16 exit,DEN,2018-06-07,12,1051.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Croatia,7,11.6424,7.5251,1.6632,1.075,0.5882,Runner-up,CRO,2018-06-07,20,945.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Costa Rica,3,2.3309,6.3086,0.777,2.1029,-1.3259,Group stage exit,CRC,2018-06-07,23,884.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Colombia,4,3.3092,6.04,0.8273,1.51,-0.6827,Round of 16 exit,COL,2018-06-07,16,986.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Brazil,5,12.3124,2.5672,2.4625,0.5134,1.949,Quarter-finals exit,BRA,2018-06-07,2,1431.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Belgium,7,12.7244,9.3342,1.8178,1.3335,0.4843,Third place,BEL,2018-06-07,3,1298.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Australia,3,4.0215,2.9124,1.3405,0.9708,0.3697,Group stage exit,AUS,2018-06-07,36,718.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2018,Argentina,4,5.5957,5.8072,1.3989,1.4518,-0.0529,Round of 16 exit,ARG,2018-06-07,5,1241.0,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2014,France,5,10.5,4.5,2.1,0.9,1.2,Quarter-finals exit,FRA,2014-06-05,17,913.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Germany,7,12.6,6.3,1.8,0.9,0.9,Winner,GER,2014-06-05,2,1300.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Netherlands,7,9.8,5.6,1.4,0.8,0.6,Third place,NED,2014-06-05,15,981.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,England,3,3.6,1.8,1.2,0.6,0.6,Group stage exit,ENG,2014-06-05,10,1090.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Belgium,5,7.5,5.0,1.5,1.0,0.5,Quarter-finals exit,BEL,2014-06-05,11,1074.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Ivory Coast,3,3.9,2.7,1.3,0.9,0.4,Group stage exit,CIV,2014-06-05,24,809.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Bosnia and Herzegovina,3,3.9,2.7,1.3,0.9,0.4,Group stage exit,BIH,2014-06-05,21,873.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Brazil,7,9.8,7.7,1.4,1.1,0.3,Fourth place,BRA,2014-06-05,3,1242.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Russia,3,3.3,2.4,1.1,0.8,0.3,Group stage exit,RUS,2014-06-05,19,893.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Argentina,7,7.7,6.3,1.1,0.9,0.2,Runner-up,ARG,2014-06-05,5,1175.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Ghana,3,4.5,3.9,1.5,1.3,0.2,Group stage exit,GHA,2014-06-05,37,704.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Greece,4,4.8,4.0,1.2,1.0,0.2,Round of 16 exit,GRE,2014-06-05,12,1064.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Colombia,5,6.5,6.0,1.3,1.2,0.1,Quarter-finals exit,COL,2014-06-05,8,1137.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Croatia,3,3.6,3.3,1.2,1.1,0.1,Group stage exit,CRO,2014-06-05,18,903.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Spain,3,4.5,4.2,1.5,1.4,0.1,Group stage exit,ESP,2014-06-05,1,1485.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Australia,3,3.9,4.2,1.3,1.4,-0.1,Group stage exit,AUS,2014-06-05,62,526.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Switzerland,4,6.4,6.8,1.6,1.7,-0.1,Round of 16 exit,SUI,2014-06-05,6,1149.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Costa Rica,5,4.0,5.0,0.8,1.0,-0.2,Quarter-finals exit,CRC,2014-06-05,28,762.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Japan,3,4.2,5.1,1.4,1.7,-0.3,Group stage exit,JPN,2014-06-05,46,626.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Portugal,3,4.5,5.4,1.5,1.8,-0.3,Group stage exit,POR,2014-06-05,4,1189.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Uruguay,4,3.6,4.8,0.9,1.2,-0.3,Round of 16 exit,URU,2014-06-05,7,1147.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Italy,3,2.4,3.3,0.8,1.1,-0.3,Group stage exit,ITA,2014-06-05,9,1104.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Mexico,4,3.2,4.4,0.8,1.1,-0.3,Round of 16 exit,MEX,2014-06-05,20,882.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Ecuador,3,3.3,4.2,1.1,1.4,-0.3,Group stage exit,ECU,2014-06-05,26,791.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Iran,3,2.4,3.6,0.8,1.2,-0.4,Group stage exit,IRN,2014-06-05,43,641.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Algeria,4,4.0,6.0,1.0,1.5,-0.5,Round of 16 exit,ALG,2014-06-05,22,858.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Nigeria,4,3.6,6.0,0.9,1.5,-0.6,Round of 16 exit,NGA,2014-06-05,44,640.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Chile,4,4.4,7.6,1.1,1.9,-0.8,Round of 16 exit,CHI,2014-06-05,14,1026.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Cameroon,3,3.3,6.0,1.1,2.0,-0.9,Group stage exit,CMR,2014-06-05,56,558.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,South Korea,3,3.0,5.7,1.0,1.9,-0.9,Group stage exit,KOR,2014-06-05,58,547.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,United States,4,4.8,8.4,1.2,2.1,-0.9,Round of 16 exit,USA,2014-06-05,13,1035.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
2014,Honduras,3,1.8,6.0,0.6,2.0,-1.4,Group stage exit,HON,2014-06-05,33,731.0,American Soccer Analysis,Team-level xGF/xGA per 99m38s of play; not match-level StatsBomb xG.
